ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,isocode,orig-Name
borong,borong,,-6.56688,147.511,boro1279,,ksr,Kosorong
burum,burum,,-6.51663,147.333,buru1306,,bmu,Burum
dedua,dedua,,-6.38206,147.627,dedu1240,,ded,Dedua
kate,kate,,-6.4795,147.757,kate1253,,kmg,Kâte
komba,komba,,-6.16163,147.28,komb1273,,kpf,Komba
kube,kube,,-6.42586,147.536,kube1244,,kgf,Hube
mape,mape,,-6.59318,147.682,mape1249,,mlh,Mape
mesem,mesem,,-6.56072,147.137,mese1244,,mci,Mese
mindik,mindik,,-6.51663,147.333,buru1306,,bmu,Mindik
nabak,nabak,,-6.42709,146.966,naba1256,,naf,Nabak
ono,ono,,-6.19223,147.579,onoo1246,,ons,Ono
selepet,selepet,,-6.03532,147.234,sele1250,,spl,Selepet
timbe,timbe,,-6.06875,147.057,timb1251,,tim,Timbe
tobo,tobo,,-6.36263,147.376,tobo1251,,kgf,Tobo
