ID,Name,Description,ColumnSpec,Nexus_File
1,1e7c,,,data
2,1e7b,,,data
3,1e7a,,,data
4,1e7f,,,data
5,1e7e,,,data
6,1e7d,,,data
7,1f23,,,data
8,1f22,,,data
9,1f21,,,data
10,1f20,,,data
11,1f27,,,data
12,1f26,,,data
13,1f25,,,data
14,1f24,,,data
15,1f29,,,data
16,1f28,,,data
17,1e79,,,data
18,1e78,,,data
19,1e73,,,data
20,1e72,,,data
21,1e71,,,data
22,1e70,,,data
23,1e77,,,data
24,1e76,,,data
25,1e75,,,data
26,1e74,,,data
27,1f2c,,,data
28,1f2b,,,data
29,1f2a,,,data
30,1f2f,,,data
31,1f2e,,,data
32,1f2d,,,data
33,1ea9,,,data
34,1ea8,,,data
35,1ea5,,,data
36,1ea4,,,data
37,1ea7,,,data
38,1ea6,,,data
39,1ea1,,,data
40,1ea0,,,data
41,1ea3,,,data
42,1ea2,,,data
43,1eae,,,data
44,1ead,,,data
45,1eaf,,,data
46,1eaa,,,data
47,1eac,,,data
48,1eab,,,data
49,1f58,,,data
50,1f59,,,data
51,1f52,,,data
52,1f53,,,data
53,1f50,,,data
54,1f51,,,data
55,1f56,,,data
56,1f57,,,data
57,1f54,,,data
58,1f55,,,data
59,1ee6,,,data
60,1f5b,,,data
61,1f5c,,,data
62,1f5a,,,data
63,1f5f,,,data
64,1f5d,,,data
65,1f5e,,,data
66,1e02,,,data
67,1e03,,,data
68,1e00,,,data
69,1e01,,,data
70,1e06,,,data
71,1e07,,,data
72,1e04,,,data
73,1e05,,,data
74,1e08,,,data
75,1e09,,,data
76,1ebd,,,data
77,1e46,,,data
78,1ee3,,,data
79,1ee2,,,data
80,1ee5,,,data
81,1ee4,,,data
82,1ee7,,,data
83,1e47,,,data
84,1ee9,,,data
85,1ee8,,,data
86,1ee1,,,data
87,1ee0,,,data
88,1ebf,,,data
89,1e0b,,,data
90,1e0c,,,data
91,1e0a,,,data
92,1e0f,,,data
93,1e0d,,,data
94,1e0e,,,data
95,1eba,,,data
96,1ebb,,,data
97,1ebc,,,data
98,1eea,,,data
99,1ebe,,,data
100,1eec,,,data
101,1eeb,,,data
102,1eb0,,,data
103,1eed,,,data
104,1eb2,,,data
105,1eef,,,data
