ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,change,Greenhill2015
posterior-1,STATE_23652000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-2,STATE_10334000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-3,STATE_19786000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-4,STATE_22073000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-5,STATE_16346000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-6,STATE_18856000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-7,STATE_28547000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-8,STATE_24295000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-9,STATE_15299000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-10,STATE_22225000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-11,STATE_14072000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-12,STATE_24187000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-13,STATE_18556000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-14,STATE_28419000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-15,STATE_15713000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-16,STATE_28128000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-17,STATE_16122000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-18,STATE_21630000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-19,STATE_12992000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-20,STATE_27402000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-21,STATE_23505000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-22,STATE_29171000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-23,STATE_26513000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-24,STATE_15459000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-25,STATE_14855000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-26,STATE_16741000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-27,STATE_12551000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-28,STATE_16225000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-29,STATE_21193000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-30,STATE_20553000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-31,STATE_10771000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-32,STATE_25036000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-33,STATE_21126000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-34,STATE_10881000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-35,STATE_26735000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-36,STATE_23615000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-37,STATE_10114000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-38,STATE_10219000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-39,STATE_15368000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-40,STATE_29010000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-41,STATE_15862000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-42,STATE_19391000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-43,STATE_13261000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-44,STATE_23584000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-45,STATE_13470000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-46,STATE_28943000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-47,STATE_15953000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-48,STATE_22289000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-49,STATE_17623000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-50,STATE_27158000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-51,STATE_29530000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-52,STATE_20810000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-53,STATE_11319000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-54,STATE_17613000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-55,STATE_13926000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-56,STATE_26359000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-57,STATE_17091000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-58,STATE_28190000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-59,STATE_16090000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-60,STATE_18446000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-61,STATE_29288000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-62,STATE_24211000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-63,STATE_26982000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-64,STATE_14256000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-65,STATE_11362000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-66,STATE_15379000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-67,STATE_19874000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-68,STATE_10307000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-69,STATE_14925000,posterior.trees,,sample,bayesian,change,Greenhill2015
posterior-70,STATE_17508000,posterior.trees,,sample,bayesian,change,Greenhill2015
